,City,Year,Main Cause
118,New York,2018,Distracted Driving
120,New York,2018,Alcohol Involvement
121,New York,2018,Running Red Light
122,New York,2018,Weather Conditions
124,New York,2018,Failure to Yield
125,New York,2018,Aggressive Driving
126,New York,2018,Failure to Yield
127,New York,2018,Improper Lane Change
129,New York,2018,Failure to Yield
131,New York,2018,Tailgating
132,New York,2018,Speeding
133,New York,2018,Running Red Light
134,New York,2018,Unlicensed Driver
135,New York,2018,Distracted Driving
136,New York,2018,Distracted Driving
137,New York,2018,Improper Lane Change
139,New York,2018,Speeding
144,New York,2018,Failure to Yield
145,New York,2018,Driver Fatigue
147,New York,2018,Running Red Light
148,New York,2018,Speeding
149,New York,2018,Speeding
150,New York,2018,Speeding
151,New York,2018,Tailgating
153,New York,2018,Weather Conditions
154,New York,2018,Improper Lane Change
155,New York,2018,Weather Conditions
156,New York,2018,Distracted Driving
157,New York,2018,Alcohol Involvement
158,New York,2018,Improper Lane Change
159,New York,2018,Running Red Light
160,New York,2018,Unlicensed Driver
161,New York,2018,Improper Lane Change
162,New York,2018,Weather Conditions
163,New York,2018,Alcohol Involvement
165,New York,2018,Alcohol Involvement
166,New York,2018,Tailgating
167,New York,2018,Aggressive Driving
168,New York,2018,Alcohol Involvement
169,New York,2018,Aggressive Driving
170,New York,2018,Drug Involvement
172,New York,2018,Failure to Yield
173,New York,2018,Failure to Yield
174,New York,2018,Running Red Light
175,New York,2018,Tailgating
177,New York,2018,Distracted Driving
180,New York,2018,Failure to Yield
181,New York,2018,Running Red Light
182,New York,2018,Improper Lane Change
184,New York,2018,Aggressive Driving
185,New York,2018,Improper Lane Change
186,New York,2018,Unlicensed Driver
187,New York,2018,Tailgating
188,New York,2018,Speeding
194,New York,2018,Weather Conditions
195,New York,2018,Weather Conditions
196,New York,2018,Tailgating
198,New York,2018,Unlicensed Driver
199,New York,2018,Weather Conditions
200,New York,2018,Distracted Driving
201,New York,2018,Unlicensed Driver
202,New York,2018,Unlicensed Driver
204,New York,2018,Aggressive Driving
205,New York,2018,Failure to Yield
207,New York,2018,Driver Fatigue
209,New York,2018,Failure to Yield
210,New York,2018,Aggressive Driving
211,New York,2018,Alcohol Involvement
212,New York,2018,Improper Lane Change
213,New York,2018,Unlicensed Driver
215,New York,2018,Failure to Yield
216,New York,2018,Aggressive Driving
217,New York,2018,Running Red Light
218,New York,2018,Weather Conditions
219,New York,2018,Speeding
221,New York,2019,Aggressive Driving
226,New York,2019,Aggressive Driving
228,New York,2019,Aggressive Driving
229,New York,2019,Unlicensed Driver
230,New York,2019,Driver Fatigue
231,New York,2019,Distracted Driving
233,New York,2019,Drug Involvement
234,New York,2019,Alcohol Involvement
237,New York,2019,Tailgating
238,New York,2019,Unlicensed Driver
239,New York,2019,Weather Conditions
240,New York,2019,Unlicensed Driver
242,New York,2019,Unlicensed Driver
243,New York,2019,Speeding
245,New York,2019,Distracted Driving
247,New York,2019,Aggressive Driving
249,New York,2019,Driver Fatigue
251,New York,2019,Aggressive Driving
252,New York,2019,Tailgating
255,New York,2019,Tailgating
257,New York,2019,Drug Involvement
258,New York,2019,Running Red Light
259,New York,2019,Aggressive Driving
262,New York,2019,Drug Involvement
263,New York,2019,Driver Fatigue
264,New York,2019,Speeding
267,New York,2019,Failure to Yield
268,New York,2019,Driver Fatigue
269,New York,2019,Aggressive Driving
271,New York,2019,Driver Fatigue
272,New York,2019,Unlicensed Driver
273,New York,2019,Aggressive Driving
274,New York,2019,Drug Involvement
275,New York,2019,Failure to Yield
276,New York,2019,Driver Fatigue
278,New York,2019,Improper Lane Change
281,New York,2019,Unlicensed Driver
282,New York,2019,Failure to Yield
283,New York,2019,Improper Lane Change
285,New York,2019,Alcohol Involvement
286,New York,2019,Driver Fatigue
287,New York,2019,Drug Involvement
289,New York,2019,Distracted Driving
290,New York,2019,Improper Lane Change
291,New York,2019,Alcohol Involvement
292,New York,2019,Running Red Light
293,New York,2019,Failure to Yield
294,New York,2019,Failure to Yield
295,New York,2019,Alcohol Involvement
296,New York,2019,Distracted Driving
299,New York,2019,Improper Lane Change
302,New York,2019,Unlicensed Driver
303,New York,2019,Driver Fatigue
304,New York,2019,Failure to Yield
305,New York,2019,Distracted Driving
308,New York,2019,Failure to Yield
309,New York,2019,Unlicensed Driver
311,New York,2019,Alcohol Involvement
312,New York,2019,Weather Conditions
313,New York,2019,Running Red Light
314,New York,2019,Running Red Light
316,New York,2019,Driver Fatigue
319,New York,2019,Drug Involvement
320,New York,2019,Distracted Driving
322,New York,2019,Drug Involvement
323,New York,2019,Driver Fatigue
324,New York,2019,Unlicensed Driver
326,New York,2019,Speeding
327,New York,2019,Distracted Driving
328,New York,2019,Unlicensed Driver
330,New York,2019,Alcohol Involvement
331,New York,2019,Driver Fatigue
332,New York,2019,Aggressive Driving
333,New York,2019,Driver Fatigue
334,New York,2019,Unlicensed Driver
335,New York,2019,Drug Involvement
338,New York,2019,Failure to Yield
339,New York,2019,Unlicensed Driver
341,New York,2019,Alcohol Involvement
342,New York,2019,Aggressive Driving
343,New York,2019,Speeding
344,New York,2019,Distracted Driving
345,New York,2019,Unlicensed Driver
346,New York,2019,Alcohol Involvement
347,New York,2019,Unlicensed Driver
348,New York,2019,Aggressive Driving
351,New York,2019,Weather Conditions
352,New York,2019,Improper Lane Change
354,New York,2019,Speeding
355,New York,2019,Running Red Light
356,New York,2019,Unlicensed Driver
357,New York,2019,Improper Lane Change
358,New York,2019,Alcohol Involvement
360,New York,2019,Speeding
362,New York,2019,Tailgating
363,New York,2019,Tailgating
365,New York,2019,Unlicensed Driver
368,New York,2020,Tailgating
369,New York,2020,Weather Conditions
370,New York,2020,Running Red Light
371,New York,2020,Alcohol Involvement
372,New York,2020,Tailgating
373,New York,2020,Tailgating
374,New York,2020,Unlicensed Driver
377,New York,2020,Aggressive Driving
379,New York,2020,Alcohol Involvement
383,New York,2020,Running Red Light
385,New York,2020,Alcohol Involvement
387,New York,2020,Running Red Light
388,New York,2020,Driver Fatigue
392,New York,2020,Drug Involvement
393,New York,2020,Running Red Light
394,New York,2020,Running Red Light
395,New York,2020,Driver Fatigue
396,New York,2020,Improper Lane Change
398,New York,2020,Tailgating
399,New York,2020,Alcohol Involvement
400,New York,2020,Drug Involvement
402,New York,2020,Tailgating
403,New York,2020,Improper Lane Change
404,New York,2020,Driver Fatigue
405,New York,2020,Aggressive Driving
406,New York,2020,Improper Lane Change
407,New York,2020,Driver Fatigue
412,New York,2020,Alcohol Involvement
413,New York,2020,Weather Conditions
414,New York,2020,Drug Involvement
416,New York,2020,Drug Involvement
418,New York,2020,Drug Involvement
419,New York,2020,Distracted Driving
420,New York,2020,Tailgating
422,New York,2020,Aggressive Driving
424,New York,2020,Weather Conditions
425,New York,2020,Alcohol Involvement
427,New York,2020,Aggressive Driving
428,New York,2020,Distracted Driving
429,New York,2020,Alcohol Involvement
432,New York,2020,Improper Lane Change
433,New York,2020,Running Red Light
434,New York,2020,Drug Involvement
435,New York,2020,Alcohol Involvement
436,New York,2020,Unlicensed Driver
437,New York,2020,Speeding
440,New York,2020,Alcohol Involvement
442,New York,2020,Tailgating
444,New York,2020,Driver Fatigue
445,New York,2020,Weather Conditions
448,New York,2020,Driver Fatigue
449,New York,2020,Alcohol Involvement
450,New York,2020,Unlicensed Driver
451,New York,2020,Driver Fatigue
452,New York,2020,Driver Fatigue
456,New York,2020,Tailgating
457,New York,2020,Failure to Yield
458,New York,2020,Alcohol Involvement
459,New York,2020,Tailgating
462,New York,2020,Improper Lane Change
468,New York,2021,Improper Lane Change
470,New York,2021,Speeding
473,New York,2021,Alcohol Involvement
474,New York,2021,Tailgating
475,New York,2021,Drug Involvement
478,New York,2021,Distracted Driving
481,New York,2021,Speeding
482,New York,2021,Weather Conditions
484,New York,2021,Aggressive Driving
485,New York,2021,Alcohol Involvement
486,New York,2021,Speeding
487,New York,2021,Speeding
488,New York,2021,Speeding
489,New York,2021,Alcohol Involvement
491,New York,2021,Speeding
492,New York,2021,Tailgating
493,New York,2021,Weather Conditions
495,New York,2021,Failure to Yield
497,New York,2021,Speeding
498,New York,2021,Drug Involvement
499,New York,2021,Drug Involvement
502,New York,2021,Drug Involvement
503,New York,2021,Failure to Yield
504,New York,2021,Drug Involvement
505,New York,2021,Running Red Light
506,New York,2021,Speeding
507,New York,2021,Weather Conditions
508,New York,2021,Tailgating
509,New York,2021,Failure to Yield
510,New York,2021,Unlicensed Driver
511,New York,2021,Unlicensed Driver
513,New York,2021,Running Red Light
517,New York,2021,Unlicensed Driver
518,New York,2021,Tailgating
519,New York,2021,Aggressive Driving
520,New York,2021,Drug Involvement
521,New York,2021,Speeding
522,New York,2021,Weather Conditions
523,New York,2021,Distracted Driving
524,New York,2021,Drug Involvement
525,New York,2021,Aggressive Driving
526,New York,2021,Speeding
529,New York,2021,Improper Lane Change
530,New York,2021,Weather Conditions
531,New York,2021,Alcohol Involvement
532,New York,2021,Improper Lane Change
534,New York,2021,Unlicensed Driver
536,New York,2021,Distracted Driving
537,New York,2021,Failure to Yield
539,New York,2021,Aggressive Driving
540,New York,2021,Running Red Light
542,New York,2021,Aggressive Driving
543,New York,2021,Drug Involvement
544,New York,2021,Aggressive Driving
546,New York,2021,Alcohol Involvement
547,New York,2021,Speeding
550,New York,2021,Failure to Yield
552,New York,2021,Driver Fatigue
554,New York,2021,Improper Lane Change
557,New York,2021,Speeding
558,New York,2021,Improper Lane Change
559,New York,2021,Drug Involvement
562,New York,2021,Aggressive Driving
563,New York,2021,Alcohol Involvement
564,New York,2021,Unlicensed Driver
565,New York,2021,Driver Fatigue
567,New York,2021,Unlicensed Driver
568,New York,2021,Speeding
569,New York,2021,Aggressive Driving
570,New York,2021,Speeding
571,New York,2021,Tailgating
572,New York,2021,Speeding
576,New York,2021,Improper Lane Change
577,New York,2021,Weather Conditions
578,New York,2021,Distracted Driving
581,New York,2021,Failure to Yield
583,New York,2021,Alcohol Involvement
584,New York,2021,Running Red Light
589,New York,2021,Improper Lane Change
590,New York,2021,Failure to Yield
591,New York,2021,Drug Involvement
592,New York,2021,Improper Lane Change
595,New York,2022,Weather Conditions
596,New York,2022,Failure to Yield
597,New York,2022,Speeding
599,New York,2022,Speeding
600,New York,2022,Distracted Driving
601,New York,2022,Aggressive Driving
602,New York,2022,Driver Fatigue
604,New York,2022,Weather Conditions
605,New York,2022,Aggressive Driving
606,New York,2022,Aggressive Driving
607,New York,2022,Weather Conditions
608,New York,2022,Driver Fatigue
610,New York,2022,Speeding
611,New York,2022,Tailgating
612,New York,2022,Aggressive Driving
613,New York,2022,Alcohol Involvement
614,New York,2022,Drug Involvement
615,New York,2022,Running Red Light
616,New York,2022,Aggressive Driving
617,New York,2022,Aggressive Driving
618,New York,2022,Failure to Yield
619,New York,2022,Failure to Yield
620,New York,2022,Improper Lane Change
621,New York,2022,Tailgating
622,New York,2022,Unlicensed Driver
623,New York,2022,Aggressive Driving
625,New York,2022,Unlicensed Driver
626,New York,2022,Driver Fatigue
628,New York,2022,Improper Lane Change
629,New York,2022,Weather Conditions
630,New York,2022,Speeding
632,New York,2022,Aggressive Driving
633,New York,2022,Improper Lane Change
634,New York,2022,Tailgating
636,New York,2022,Unlicensed Driver
637,New York,2022,Drug Involvement
638,New York,2022,Tailgating
639,New York,2022,Failure to Yield
640,New York,2022,Drug Involvement
641,New York,2022,Distracted Driving
642,New York,2022,Alcohol Involvement
643,New York,2022,Driver Fatigue
645,New York,2022,Failure to Yield
646,New York,2022,Driver Fatigue
648,New York,2022,Unlicensed Driver
649,New York,2022,Driver Fatigue
650,New York,2022,Driver Fatigue
652,New York,2022,Failure to Yield
654,New York,2022,Driver Fatigue
656,New York,2022,Drug Involvement
657,New York,2022,Drug Involvement
658,New York,2022,Driver Fatigue
661,New York,2022,Failure to Yield
662,New York,2022,Aggressive Driving
663,New York,2022,Drug Involvement
664,New York,2022,Improper Lane Change
666,New York,2022,Distracted Driving
667,New York,2022,Tailgating
668,New York,2022,Unlicensed Driver
670,New York,2022,Failure to Yield
671,New York,2022,Driver Fatigue
672,New York,2022,Running Red Light
673,New York,2022,Speeding
674,New York,2022,Speeding
675,New York,2022,Weather Conditions
677,New York,2022,Tailgating
680,New York,2022,Distracted Driving
681,New York,2022,Alcohol Involvement
682,New York,2022,Tailgating
683,New York,2022,Driver Fatigue
684,New York,2022,Aggressive Driving
685,New York,2022,Speeding
689,New York,2022,Drug Involvement
690,New York,2022,Driver Fatigue
693,New York,2022,Improper Lane Change
694,New York,2022,Improper Lane Change
696,New York,2022,Distracted Driving
697,New York,2022,Distracted Driving
698,New York,2022,Aggressive Driving
699,New York,2022,Alcohol Involvement
701,New York,2022,Improper Lane Change
702,New York,2022,Drug Involvement
703,New York,2022,Drug Involvement
705,New York,2022,Unlicensed Driver
706,New York,2022,Distracted Driving
707,New York,2022,Tailgating
708,New York,2022,Running Red Light
709,New York,2022,Distracted Driving
710,New York,2022,Aggressive Driving
711,New York,2022,Weather Conditions
712,New York,2022,Aggressive Driving
713,New York,2022,Unlicensed Driver
715,New York,2023,Improper Lane Change
718,New York,2023,Failure to Yield
719,New York,2023,Alcohol Involvement
721,New York,2023,Tailgating
722,New York,2023,Weather Conditions
723,New York,2023,Unlicensed Driver
724,New York,2023,Distracted Driving
725,New York,2023,Unlicensed Driver
726,New York,2023,Failure to Yield
727,New York,2023,Unlicensed Driver
728,New York,2023,Aggressive Driving
729,New York,2023,Running Red Light
731,New York,2023,Failure to Yield
732,New York,2023,Distracted Driving
733,New York,2023,Unlicensed Driver
734,New York,2023,Alcohol Involvement
735,New York,2023,Weather Conditions
737,New York,2023,Distracted Driving
739,New York,2023,Weather Conditions
740,New York,2023,Tailgating
741,New York,2023,Aggressive Driving
742,New York,2023,Aggressive Driving
744,New York,2023,Drug Involvement
745,New York,2023,Alcohol Involvement
751,New York,2023,Weather Conditions
753,New York,2023,Weather Conditions
754,New York,2023,Alcohol Involvement
755,New York,2023,Distracted Driving
756,New York,2023,Driver Fatigue
758,New York,2023,Aggressive Driving
759,New York,2023,Running Red Light
761,New York,2023,Drug Involvement
764,New York,2023,Improper Lane Change
765,New York,2023,Alcohol Involvement
768,New York,2023,Alcohol Involvement
769,New York,2023,Distracted Driving
770,New York,2023,Alcohol Involvement
771,New York,2023,Aggressive Driving
772,New York,2023,Unlicensed Driver
774,New York,2023,Improper Lane Change
777,New York,2023,Alcohol Involvement
778,New York,2023,Unlicensed Driver
779,New York,2023,Alcohol Involvement
783,New York,2023,Failure to Yield
784,New York,2023,Alcohol Involvement
785,New York,2023,Unlicensed Driver
787,New York,2023,Unlicensed Driver
791,New York,2023,Speeding
793,New York,2023,Running Red Light
794,New York,2023,Improper Lane Change
795,New York,2023,Driver Fatigue
796,New York,2023,Unlicensed Driver
797,New York,2023,Drug Involvement
798,New York,2023,Unlicensed Driver
799,New York,2023,Improper Lane Change
800,New York,2023,Failure to Yield
801,New York,2023,Failure to Yield
803,New York,2023,Distracted Driving
805,New York,2023,Tailgating
806,New York,2023,Running Red Light
807,New York,2023,Alcohol Involvement
808,New York,2023,Driver Fatigue
809,New York,2023,Weather Conditions
810,New York,2023,Tailgating
816,New York,2023,Running Red Light
818,New York,2023,Distracted Driving
819,New York,2023,Improper Lane Change
821,New York,2023,Failure to Yield
822,New York,2023,Distracted Driving
824,New York,2023,Weather Conditions
825,New York,2023,Tailgating
827,Los Angeles,2017,Driver Fatigue
828,Los Angeles,2017,Alcohol Involvement
831,Los Angeles,2017,Failure to Yield
832,Los Angeles,2017,Tailgating
834,Los Angeles,2017,Speeding
837,Los Angeles,2017,Running Red Light
839,Los Angeles,2017,Speeding
840,Los Angeles,2017,Running Red Light
841,Los Angeles,2017,Running Red Light
842,Los Angeles,2017,Aggressive Driving
843,Los Angeles,2017,Improper Lane Change
844,Los Angeles,2017,Alcohol Involvement
845,Los Angeles,2017,Speeding
846,Los Angeles,2017,Failure to Yield
847,Los Angeles,2017,Tailgating
848,Los Angeles,2017,Failure to Yield
849,Los Angeles,2017,Improper Lane Change
850,Los Angeles,2017,Weather Conditions
851,Los Angeles,2017,Aggressive Driving
852,Los Angeles,2017,Tailgating
853,Los Angeles,2017,Driver Fatigue
857,Los Angeles,2017,Weather Conditions
858,Los Angeles,2017,Failure to Yield
859,Los Angeles,2017,Driver Fatigue
864,Los Angeles,2017,Weather Conditions
865,Los Angeles,2017,Improper Lane Change
866,Los Angeles,2017,Unlicensed Driver
867,Los Angeles,2017,Unlicensed Driver
868,Los Angeles,2017,Weather Conditions
870,Los Angeles,2017,Alcohol Involvement
871,Los Angeles,2017,Alcohol Involvement
873,Los Angeles,2017,Running Red Light
875,Los Angeles,2017,Speeding
876,Los Angeles,2017,Drug Involvement
877,Los Angeles,2017,Distracted Driving
878,Los Angeles,2017,Running Red Light
879,Los Angeles,2017,Drug Involvement
881,Los Angeles,2017,Driver Fatigue
884,Los Angeles,2017,Unlicensed Driver
885,Los Angeles,2017,Failure to Yield
886,Los Angeles,2017,Speeding
887,Los Angeles,2017,Improper Lane Change
888,Los Angeles,2017,Driver Fatigue
889,Los Angeles,2017,Alcohol Involvement
890,Los Angeles,2017,Aggressive Driving
892,Los Angeles,2017,Driver Fatigue
893,Los Angeles,2017,Tailgating
894,Los Angeles,2017,Drug Involvement
895,Los Angeles,2017,Aggressive Driving
897,Los Angeles,2017,Failure to Yield
901,Los Angeles,2017,Unlicensed Driver
902,Los Angeles,2017,Improper Lane Change
903,Los Angeles,2017,Distracted Driving
904,Los Angeles,2017,Improper Lane Change
905,Los Angeles,2017,Running Red Light
907,Los Angeles,2017,Improper Lane Change
908,Los Angeles,2017,Aggressive Driving
910,Los Angeles,2017,Weather Conditions
911,Los Angeles,2017,Distracted Driving
912,Los Angeles,2017,Driver Fatigue
913,Los Angeles,2017,Improper Lane Change
917,Los Angeles,2017,Aggressive Driving
918,Los Angeles,2017,Running Red Light
920,Los Angeles,2017,Tailgating
921,Los Angeles,2017,Alcohol Involvement
922,Los Angeles,2017,Weather Conditions
923,Los Angeles,2017,Improper Lane Change
927,Los Angeles,2017,Alcohol Involvement
929,Los Angeles,2017,Tailgating
930,Los Angeles,2017,Tailgating
935,Los Angeles,2017,Tailgating
937,Los Angeles,2017,Unlicensed Driver
938,Los Angeles,2017,Aggressive Driving
939,Los Angeles,2017,Drug Involvement
940,Los Angeles,2017,Drug Involvement
941,Los Angeles,2017,Weather Conditions
942,Los Angeles,2017,Speeding
945,Los Angeles,2017,Improper Lane Change
948,Los Angeles,2017,Alcohol Involvement
949,Los Angeles,2017,Speeding
952,Los Angeles,2017,Alcohol Involvement
953,Los Angeles,2017,Improper Lane Change
954,Los Angeles,2017,Weather Conditions
955,Los Angeles,2017,Tailgating
956,Los Angeles,2017,Tailgating
957,Los Angeles,2017,Aggressive Driving
958,Los Angeles,2017,Unlicensed Driver
960,Los Angeles,2017,Failure to Yield
961,Los Angeles,2018,Unlicensed Driver
962,Los Angeles,2018,Aggressive Driving
964,Los Angeles,2018,Running Red Light
965,Los Angeles,2018,Improper Lane Change
966,Los Angeles,2018,Unlicensed Driver
967,Los Angeles,2018,Distracted Driving
968,Los Angeles,2018,Driver Fatigue
969,Los Angeles,2018,Running Red Light
970,Los Angeles,2018,Weather Conditions
972,Los Angeles,2018,Weather Conditions
973,Los Angeles,2018,Drug Involvement
974,Los Angeles,2018,Improper Lane Change
975,Los Angeles,2018,Unlicensed Driver
976,Los Angeles,2018,Tailgating
977,Los Angeles,2018,Failure to Yield
981,Los Angeles,2018,Unlicensed Driver
982,Los Angeles,2018,Failure to Yield
983,Los Angeles,2018,Running Red Light
984,Los Angeles,2018,Distracted Driving
987,Los Angeles,2018,Driver Fatigue
988,Los Angeles,2018,Unlicensed Driver
989,Los Angeles,2018,Driver Fatigue
990,Los Angeles,2018,Weather Conditions
991,Los Angeles,2018,Unlicensed Driver
993,Los Angeles,2018,Failure to Yield
994,Los Angeles,2018,Aggressive Driving
995,Los Angeles,2018,Aggressive Driving
996,Los Angeles,2018,Driver Fatigue
997,Los Angeles,2018,Unlicensed Driver
999,Los Angeles,2018,Weather Conditions
1000,Los Angeles,2018,Drug Involvement
1003,Los Angeles,2018,Failure to Yield
1004,Los Angeles,2018,Speeding
1005,Los Angeles,2018,Driver Fatigue
1006,Los Angeles,2018,Drug Involvement
1007,Los Angeles,2018,Driver Fatigue
1009,Los Angeles,2018,Alcohol Involvement
1010,Los Angeles,2018,Drug Involvement
1011,Los Angeles,2018,Failure to Yield
1012,Los Angeles,2018,Speeding
1013,Los Angeles,2018,Running Red Light
1015,Los Angeles,2018,Speeding
1017,Los Angeles,2018,Distracted Driving
1018,Los Angeles,2018,Distracted Driving
1019,Los Angeles,2018,Improper Lane Change
1022,Los Angeles,2018,Drug Involvement
1023,Los Angeles,2018,Failure to Yield
1024,Los Angeles,2018,Tailgating
1025,Los Angeles,2018,Weather Conditions
1026,Los Angeles,2018,Unlicensed Driver
1027,Los Angeles,2018,Running Red Light
1028,Los Angeles,2018,Alcohol Involvement
1031,Los Angeles,2018,Alcohol Involvement
1032,Los Angeles,2018,Distracted Driving
1034,Los Angeles,2018,Distracted Driving
1035,Los Angeles,2018,Aggressive Driving
1036,Los Angeles,2018,Drug Involvement
1037,Los Angeles,2018,Improper Lane Change
1040,Los Angeles,2018,Improper Lane Change
1041,Los Angeles,2018,Alcohol Involvement
1045,Los Angeles,2018,Driver Fatigue
1046,Los Angeles,2018,Improper Lane Change
1047,Los Angeles,2018,Driver Fatigue
1048,Los Angeles,2018,Improper Lane Change
1050,Los Angeles,2018,Unlicensed Driver
1051,Los Angeles,2018,Weather Conditions
1052,Los Angeles,2018,Alcohol Involvement
1053,Los Angeles,2018,Driver Fatigue
1054,Los Angeles,2018,Unlicensed Driver
1055,Los Angeles,2018,Speeding
1056,Los Angeles,2018,Drug Involvement
1057,Los Angeles,2018,Weather Conditions
1059,Los Angeles,2018,Distracted Driving
1061,Los Angeles,2019,Tailgating
1062,Los Angeles,2019,Weather Conditions
1064,Los Angeles,2019,Tailgating
1066,Los Angeles,2019,Unlicensed Driver
1067,Los Angeles,2019,Driver Fatigue
1068,Los Angeles,2019,Running Red Light
1069,Los Angeles,2019,Tailgating
1070,Los Angeles,2019,Improper Lane Change
1071,Los Angeles,2019,Improper Lane Change
1072,Los Angeles,2019,Improper Lane Change
1075,Los Angeles,2019,Alcohol Involvement
1076,Los Angeles,2019,Speeding
1079,Los Angeles,2019,Weather Conditions
1080,Los Angeles,2019,Tailgating
1083,Los Angeles,2019,Failure to Yield
1084,Los Angeles,2019,Running Red Light
1085,Los Angeles,2019,Speeding
1086,Los Angeles,2019,Speeding
1092,Los Angeles,2019,Drug Involvement
1093,Los Angeles,2019,Weather Conditions
1095,Los Angeles,2019,Running Red Light
1097,Los Angeles,2019,Failure to Yield
1099,Los Angeles,2019,Aggressive Driving
1100,Los Angeles,2019,Unlicensed Driver
1101,Los Angeles,2019,Running Red Light
1103,Los Angeles,2019,Speeding
1104,Los Angeles,2019,Driver Fatigue
1106,Los Angeles,2019,Improper Lane Change
1108,Los Angeles,2019,Alcohol Involvement
1109,Los Angeles,2019,Drug Involvement
1111,Los Angeles,2019,Distracted Driving
1113,Los Angeles,2019,Running Red Light
1114,Los Angeles,2019,Unlicensed Driver
1115,Los Angeles,2019,Drug Involvement
1118,Los Angeles,2019,Distracted Driving
1120,Los Angeles,2019,Aggressive Driving
1121,Los Angeles,2019,Speeding
1124,Los Angeles,2019,Unlicensed Driver
1125,Los Angeles,2019,Tailgating
1129,Los Angeles,2019,Driver Fatigue
1131,Los Angeles,2019,Improper Lane Change
1132,Los Angeles,2019,Driver Fatigue
1133,Los Angeles,2019,Tailgating
1134,Los Angeles,2019,Failure to Yield
1135,Los Angeles,2019,Alcohol Involvement
1137,Los Angeles,2019,Weather Conditions
1138,Los Angeles,2019,Weather Conditions
1141,Los Angeles,2019,Weather Conditions
1142,Los Angeles,2019,Weather Conditions
1143,Los Angeles,2019,Drug Involvement
1145,Los Angeles,2019,Unlicensed Driver
1148,Los Angeles,2019,Running Red Light
1149,Los Angeles,2019,Failure to Yield
1150,Los Angeles,2019,Drug Involvement
1151,Los Angeles,2019,Tailgating
1153,Los Angeles,2019,Drug Involvement
1154,Los Angeles,2019,Weather Conditions
1155,Los Angeles,2019,Alcohol Involvement
1156,Los Angeles,2019,Aggressive Driving
1157,Los Angeles,2019,Failure to Yield
1158,Los Angeles,2019,Speeding
1159,Los Angeles,2019,Unlicensed Driver
1165,Los Angeles,2019,Speeding
1167,Los Angeles,2019,Unlicensed Driver
1169,Los Angeles,2019,Weather Conditions
1171,Los Angeles,2019,Tailgating
1172,Los Angeles,2019,Failure to Yield
1174,Los Angeles,2019,Aggressive Driving
1175,Los Angeles,2019,Aggressive Driving
1177,Los Angeles,2019,Running Red Light
1179,Los Angeles,2019,Weather Conditions
1180,Los Angeles,2019,Improper Lane Change
1182,Los Angeles,2019,Drug Involvement
1184,Los Angeles,2019,Tailgating
